Year,Date,Month,AQI
2021,01,Jan,106.0
2021,02,Jan,92.0
2021,03,Jan,92.0
2021,04,Jan,92.0
2021,05,Jan,92.0
2021,06,Jan,92.0
2021,07,Jan,92.0
2021,08,Jan,67.0
2021,09,Jan,86.0
2021,10,Jan,76.0
2021,11,Jan,79.0
2021,12,Jan,90.0
2021,13,Jan,90.0
2021,14,Jan,82.0
2021,15,Jan,91.0
2021,16,Jan,85.0
2021,17,Jan,90.0
2021,18,Jan,92.0
2021,19,Jan,88.0
2021,20,Jan,107.0
2021,21,Jan,98.0
2021,22,Jan,95.0
2021,23,Jan,122.0
2021,24,Jan,119.0
2021,25,Jan,92.0
2021,26,Jan,94.0
2021,27,Jan,85.0
2021,28,Jan,102.0
2021,29,Jan,92.0
2021,30,Jan,92.0
2021,31,Jan,91.0
2021,01,Feb,88
2021,02,Feb,88
2021,03,Feb,88
2021,04,Feb,88
2021,05,Feb,88
2021,06,Feb,88
2021,07,Feb,88
2021,08,Feb,88
2021,09,Feb,88
2021,10,Feb,88
2021,11,Feb,115.0
2021,12,Feb,96.0
2021,13,Feb,97.0
2021,14,Feb,88
2021,15,Feb,91.0
2021,16,Feb,109.0
2021,17,Feb,81.0
2021,18,Feb,78.0
2021,19,Feb,68.0
2021,20,Feb,68.0
2021,21,Feb,77.0
2021,22,Feb,88.0
2021,23,Feb,92.0
2021,24,Feb,87.0
2021,25,Feb,95.0
2021,26,Feb,88.0
2021,27,Feb,81.0
2021,28,Feb,85.0
2021,29,Feb,88
2021,30,Feb,88
2021,31,Feb,88
2021,01,Mar,88.0
2021,02,Mar,93.0
2021,03,Mar,102.0
2021,04,Mar,95
2021,05,Mar,95
2021,06,Mar,95
2021,07,Mar,95
2021,08,Mar,96.0
2021,09,Mar,99.0
2021,10,Mar,100.0
2021,11,Mar,89.0
2021,12,Mar,111.0
2021,13,Mar,91.0
2021,14,Mar,87.0
2021,15,Mar,93.0
2021,16,Mar,98.0
2021,17,Mar,101.0
2021,18,Mar,104.0
2021,19,Mar,95.0
2021,20,Mar,83.0
2021,21,Mar,69.0
2021,22,Mar,68.0
2021,23,Mar,95
2021,24,Mar,118.0
2021,25,Mar,78.0
2021,26,Mar,89.0
2021,27,Mar,79.0
2021,28,Mar,127.0
2021,29,Mar,137.0
2021,30,Mar,81.0
2021,31,Mar,95
2021,01,Apr,98.0
2021,02,Apr,92.0
2021,03,Apr,99.0
2021,04,Apr,91.0
2021,05,Apr,83.0
2021,06,Apr,91.0
2021,07,Apr,98.0
2021,08,Apr,94.0
2021,09,Apr,86.0
2021,10,Apr,98.0
2021,11,Apr,87.0
2021,12,Apr,90
2021,13,Apr,90
2021,14,Apr,86.0
2021,15,Apr,79.0
2021,16,Apr,90
2021,17,Apr,90
2021,18,Apr,88.0
2021,19,Apr,88.0
2021,20,Apr,88.0
2021,21,Apr,88.0
2021,22,Apr,88.0
2021,23,Apr,88.0
2021,24,Apr,88.0
2021,25,Apr,83.0
2021,26,Apr,98.0
2021,27,Apr,98.0
2021,28,Apr,83.0
2021,29,Apr,89.0
2021,30,Apr,90
2021,31,Apr,90
2021,01,May,69
2021,02,May,69
2021,03,May,69
2021,04,May,69
2021,05,May,82.0
2021,06,May,80.0
2021,07,May,78.0
2021,08,May,85.0
2021,09,May,84.0
2021,10,May,66.0
2021,11,May,70.0
2021,12,May,64.0
2021,13,May,69
2021,14,May,69
2021,15,May,69
2021,16,May,69
2021,17,May,55.0
2021,18,May,56.0
2021,19,May,63.0
2021,20,May,69
2021,21,May,74.0
2021,22,May,79.0
2021,23,May,56.0
2021,24,May,76.0
2021,25,May,69
2021,26,May,58.0
2021,27,May,59.0
2021,28,May,57.0
2021,29,May,69
2021,30,May,69
2021,31,May,69
2021,01,Jun,69
2021,02,Jun,69
2021,03,Jun,69
2021,04,Jun,69
2021,05,Jun,69
2021,06,Jun,69
2021,07,Jun,69
2021,08,Jun,69
2021,09,Jun,74.0
2021,10,Jun,66.0
2021,11,Jun,62.0
2021,12,Jun,54.0
2021,13,Jun,69
2021,14,Jun,69
2021,15,Jun,61.0
2021,16,Jun,56.0
2021,17,Jun,55.0
2021,18,Jun,59.0
2021,19,Jun,70.0
2021,20,Jun,60.0
2021,21,Jun,69
2021,22,Jun,137.0
2021,23,Jun,69
2021,24,Jun,69
2021,25,Jun,69
2021,26,Jun,69
2021,27,Jun,69
2021,28,Jun,69
2021,29,Jun,89.0
2021,30,Jun,59.0
2021,31,Jun,69
2021,01,Jul,57
2021,02,Jul,57
2021,03,Jul,57
2021,04,Jul,57
2021,05,Jul,57
2021,06,Jul,57
2021,07,Jul,57
2021,08,Jul,62.0
2021,09,Jul,57
2021,10,Jul,57
2021,11,Jul,57
2021,12,Jul,54.0
2021,13,Jul,55.0
2021,14,Jul,58.0
2021,15,Jul,60.0
2021,16,Jul,61.0
2021,17,Jul,51.0
2021,18,Jul,50.0
2021,19,Jul,62.0
2021,20,Jul,57
2021,21,Jul,53.0
2021,22,Jul,57.0
2021,23,Jul,57
2021,24,Jul,57
2021,25,Jul,57
2021,26,Jul,57
2021,27,Jul,57
2021,28,Jul,57
2021,29,Jul,57
2021,30,Jul,57
2021,31,Jul,57
2021,01,Aug,64
2021,02,Aug,46.0
2021,03,Aug,53.0
2021,04,Aug,52.0
2021,05,Aug,52.0
2021,06,Aug,73.0
2021,07,Aug,71.0
2021,08,Aug,69.0
2021,09,Aug,68.0
2021,10,Aug,77.0
2021,11,Aug,67.0
2021,12,Aug,69.0
2021,13,Aug,64
2021,14,Aug,64
2021,15,Aug,64
2021,16,Aug,64
2021,17,Aug,59.0
2021,18,Aug,59.0
2021,19,Aug,63.0
2021,20,Aug,59.0
2021,21,Aug,63.0
2021,22,Aug,58.0
2021,23,Aug,56.0
2021,24,Aug,66.0
2021,25,Aug,78.0
2021,26,Aug,79.0
2021,27,Aug,69.0
2021,28,Aug,64
2021,29,Aug,64
2021,30,Aug,65.0
2021,31,Aug,62.0
2021,01,Sep,61.0
2021,02,Sep,60.0
2021,03,Sep,63.0
2021,04,Sep,87
2021,05,Sep,87
2021,06,Sep,87
2021,07,Sep,87
2021,08,Sep,87
2021,09,Sep,57.0
2021,10,Sep,56.0
2021,11,Sep,61.0
2021,12,Sep,60.0
2021,13,Sep,373.0
2021,14,Sep,353.0
2021,15,Sep,65.0
2021,16,Sep,72.0
2021,17,Sep,67.0
2021,18,Sep,59.0
2021,19,Sep,65.0
2021,20,Sep,87
2021,21,Sep,62.0
2021,22,Sep,61.0
2021,23,Sep,60.0
